,Split Ratio  ,Noise ,Error Count ,Time Count,Weight Count,Bias Count
0,0.8,10,0.10204081632653061,0.0004640000000222244,[[ 1.8179152  -1.81803526]],-4.2717194434484735
0,0.8,10,0.09183673469387756,0.0005520000000274194,[[ 1.65079355 -1.46737783]],-4.557887550333749
0,0.8,10,0.10204081632653061,0.00046200000002727393,[[ 1.66491099 -1.66794166]],-3.8196683505461566
0,0.8,10,0.09183673469387756,0.0005150000000071486,[[ 1.72125841 -1.50522983]],-4.596062732051503
0,0.8,10,0.11224489795918367,0.00046700000001465014,[[ 1.26546266 -1.76974426]],-1.4360971167029746
0,0.8,10,0.09183673469387756,0.0007729999999810389,[[ 1.46389521 -1.94857125]],-1.6936755277090452
0,0.8,10,0.11224489795918367,0.00048600000002352317,[[ 1.40831982 -1.6902969 ]],-2.604349414662744
0,0.8,10,0.11224489795918367,0.0005939999999782231,[[ 1.21242021 -1.81810006]],-0.9413215783189998
0,0.8,10,0.10204081632653061,0.0005940000000350665,[[ 1.53856464 -1.758378  ]],-2.890218548470957
0,0.8,10,0.11224489795918367,0.0004900000000134241,[[ 1.37341841 -1.56848371]],-2.730386756211439
0,0.8,10,0.1326530612244898,0.0005350000000134969,[[ 1.2 -2.1]],-0.21000576019286932
0,0.8,10,0.11224489795918367,0.000665000000026339,[[ 1.40176231 -1.77705864]],-2.014286103840718
0,0.8,10,0.10204081632653061,0.0004959999999982756,[[ 1.95025545 -1.46270189]],-5.9727953534722715
0,0.8,10,0.11224489795918367,0.0005360000000109721,[[ 1.31621502 -1.84270697]],-1.3426321188703083
0,0.8,10,0.10204081632653061,0.0004589999999780048,[[ 1.50390394 -1.65355661]],-3.212911412546918
0,0.8,15,0.15306122448979592,0.0005160000000046239,[[ 1.33237492 -1.33313755]],-2.9958523197600075
0,0.8,15,0.15306122448979592,0.0006140000000414148,[[ 1.23106302 -1.5379081 ]],-1.9572381441129927
0,0.8,15,0.15306122448979592,0.0005520000000274194,[[ 1.33216588 -1.77769488]],-1.6160178412942914
0,0.8,15,0.15306122448979592,0.0004899999999565807,[[ 1.66510899 -1.33396247]],-5.0562390546900735
0,0.8,15,0.16326530612244897,0.0005090000000222972,[[ 1.08171725 -1.62023759]],-0.9534825352495715
0,0.8,15,0.16326530612244897,0.0005179999999995744,[[ 1.35539465 -1.69692581]],-2.0426516404545865
0,0.8,15,0.14285714285714285,0.0004959999999982756,[[ 1.53851228 -1.53855125]],-3.7692427858625854
0,0.8,15,0.16326530612244897,0.0005069999999705033,[[ 1.42876185 -1.42877613]],-3.143237358402735
0,0.8,15,0.14285714285714285,0.0004759999999919273,[[ 1.42846916 -1.4290914 ]],-3.2834520734625166
0,0.8,15,0.16326530612244897,0.0005070000000273467,[[ 1.30785504 -1.49469077]],-2.587546058396106
0,0.8,15,0.14285714285714285,0.0005479999999806751,[[ 1.6       -1.4285618]],-4.142880128175614
0,0.8,15,0.16326530612244897,0.0005909999999857973,[[ 1.14107301 -1.7144449 ]],-0.9893709432432036
0,0.8,15,0.16326530612244897,0.0007689999999911379,[[ 1.20477363 -1.68686831]],-1.2403347775579645
0,0.8,15,0.16326530612244897,0.0010220000000344953,[[ 1.22453112 -1.63200201]],-1.573709670481552
0,0.8,15,0.15306122448979592,0.000551999999970576,[[ 1.25160992 -1.50022475]],-2.257882591825066
0,0.8,15,0.16326530612244897,0.0008609999999862339,[[ 1.42820294 -1.42884734]],-3.5684493563248343
0,0.8,15,0.16326530612244897,0.0005700000000388172,[[ 1.18600235 -1.69800034]],-1.1918135760204875
0,0.8,15,0.16326530612244897,0.0005419999999958236,[[ 1.43051635 -1.42841164]],-3.4399205889797653
0,0.8,15,0.16326530612244897,0.0005320000000210712,[[ 1.17647062 -1.76284996]],-0.8882880707089228
0,0.8,15,0.14285714285714285,0.0005080000000248219,[[ 1.27611451 -1.4583998 ]],-2.463779562058056
0,0.8,20,0.20408163265306123,0.0005390000000033979,[[ 1.24999329 -1.25000784]],-2.874945272962091
0,0.8,20,0.20408163265306123,0.0008899999999698593,[[ 1.20498167 -1.44504912]],-2.11143045985905
0,0.8,20,0.20408163265306123,0.0010550000000080217,[[ 1.2344877  -1.72833671]],-1.2466687689930325
0,0.8,20,0.19387755102040816,0.0005459999999857246,[[ 1.59093052 -0.90915744]],-6.068085797917917
0,0.8,20,0.19387755102040816,0.0005029999999806023,[[ 1.17659787 -1.32339129]],-2.3393481028492693
0,0.8,20,0.20408163265306123,0.0005610000000046966,[[ 1.17855847 -1.67855847]],-1.1535413211796963
0,0.8,20,0.19387755102040816,0.000523000000043794,[[ 1.23438724 -1.48175348]],-2.2327514722847517
0,0.8,20,0.21428571428571427,0.0005380000000059226,[[ 1.18350135 -1.30172746]],-2.3141357819903337
0,0.8,20,0.19387755102040816,0.0005780000000186192,[[ 1.24972489 -1.24973331]],-2.8744532092368114
0,0.8,20,0.21428571428571427,0.0005550000000198452,[[ 1.08981509 -1.45509817]],-1.465368104619276
0,0.8,20,0.19387755102040816,0.0005350000000134969,[[ 1.24978854 -1.25037588]],-2.872711710607837
0,0.8,20,0.22448979591836735,0.0005469999999831998,[[ 0.98717832 -1.72758882]],-0.06177600395434734
0,0.8,20,0.21428571428571427,0.0005010000000424952,[[ 1.20072    -1.46655965]],-1.764023083036631
0,0.8,20,0.21428571428571427,0.0009850000000142245,[[ 1.19424662 -1.49160284]],-1.8699265703302208
0,0.8,20,0.21428571428571427,0.0005229999999869506,[[ 1.2502293  -1.25021148]],-3.000603852429685
0,0.8,20,0.24489795918367346,0.0005719999999769243,[[ 1.1264517  -0.84597084]],-3.896965951524321
0,0.8,20,0.21428571428571427,0.0005290000000286454,[[ 1.05292708 -1.57844601]],-0.8977299958853591
0,0.8,20,0.21428571428571427,0.0005189999999970496,[[ 1.30832484 -1.49590955]],-2.586531357976822
