,Training,Noise,Training Error,Testing Error,Time Count
0,80,5,0.050000000000000044,0.050000000000000044,0.00041899999999372994
0,80,5,0.0625,0.09999999999999998,0.0005740000000002965
0,80,5,0.050000000000000044,0.050000000000000044,0.0004890000000159489
0,80,5,0.0625,0.0,0.00039400000000000546
0,80,5,0.03749999999999998,0.25,0.0006520000000023174
0,80,5,0.050000000000000044,0.050000000000000044,0.0006019999999864467
0,80,5,0.050000000000000044,0.050000000000000044,0.0009039999999913562
0,80,5,0.050000000000000044,0.050000000000000044,0.0006369999999833453
0,80,5,0.0625,0.0,0.0005050000000039745
0,80,5,0.050000000000000044,0.050000000000000044,0.00046000000000390173
0,80,5,0.050000000000000044,0.050000000000000044,0.0007530000000031123
0,80,5,0.0625,0.0,0.0004549999999881038
0,80,5,0.050000000000000044,0.050000000000000044,0.0005980000000249674
0,80,5,0.03749999999999998,0.09999999999999998,0.00045099999999820284
0,80,5,0.0625,0.0,0.00048599999999510146
0,80,5,0.050000000000000044,0.050000000000000044,0.00046700000001465014
0,80,10,0.125,0.0,0.0005029999999806023
0,80,10,0.08750000000000002,0.15000000000000002,0.0005179999999995744
0,80,10,0.09999999999999998,0.09999999999999998,0.0005740000000002965
0,80,10,0.07499999999999996,0.19999999999999996,0.0007249999999885404
0,80,10,0.09999999999999998,0.09999999999999998,0.0004589999999780048
0,80,10,0.11250000000000004,0.050000000000000044,0.0003999999999848569
0,80,10,0.11250000000000004,0.050000000000000044,0.0005900000000167438
0,80,10,0.09999999999999998,0.09999999999999998,0.0005189999999970496
0,80,10,0.11250000000000004,0.09999999999999998,0.00082499999999186
0,80,10,0.08750000000000002,0.15000000000000002,0.0004959999999982756
0,80,10,0.08750000000000002,0.15000000000000002,0.0004869999999925767
0,80,10,0.125,0.0,0.0004869999999925767
0,80,10,0.125,0.0,0.0007129999999904157
0,80,10,0.08750000000000002,0.15000000000000002,0.0007999999999981355
0,80,10,0.09999999999999998,0.09999999999999998,0.0005979999999965457
0,80,10,0.125,0.09999999999999998,0.0008449999999982083
0,80,10,0.09999999999999998,0.09999999999999998,0.0005139999999812517
0,80,10,0.11250000000000004,0.050000000000000044,0.00048800000001847366
0,80,10,0.09999999999999998,0.25,0.000618000000002894
0,80,10,0.09999999999999998,0.09999999999999998,0.0004930000000058499
0,80,10,0.09999999999999998,0.09999999999999998,0.0006150000000104683
