,Training,Noise,Training Error,Testing Error ,Time Count,Weight,Bias,Objective Function
0,80,10,0.1125,0.1,0.009281999999984691,[[ 1.92311546 -2.30390727]],-3.512048893915852,4.503180885202406
0,80,10,0.1,0.15,0.002628000000015618,[[ 1.46343951 -2.04691973]],-1.5033861635090122,3.1657677750685562
0,80,10,0.1,0.1,0.003719999999987067,[[ 2.08531621 -1.63474239]],-6.15114741898191,3.5104631943385796
0,80,10,0.1125,0.05,0.00231199999996079,[[ 1.80737143 -1.82613364]],-4.187525326483871,3.300677778183119
0,80,10,0.1,0.1,0.003027999999972053,[[ 1.81686229 -1.83528687]],-4.217223964947226,3.3346332351171983
0,80,15,0.1875,0.0,0.01134100000001581,[[ 1.62203473 -1.41909   ]],-4.270143290114395,2.3224065370329114
0,80,15,0.1875,0.05,0.004027000000007774,[[ 1.6494213  -1.66627377]],-3.9103225980710743,2.748529450114243
0,80,15,0.1375,0.25,0.004847999999981312,[[ 1.98944641 -1.99559354]],-4.3579278620094835,3.9701452829680735
0,80,15,0.1375,0.2,0.004157000000020616,[[ 1.25476957 -2.19320312]],-0.16162943596226886,3.1922933060474743
0,80,15,0.1875,0.05,0.005901999999991858,[[ 1.25187041 -1.59863501]],-1.8868141911970338,2.06140671480883
0,80,15,0.15,0.15,0.0025610000000142463,[[ 1.61976978 -1.80277373]],-3.1848974276256325,2.9368236409460433
0,80,15,0.1625,0.15,0.004943000000025677,[[ 1.39391674 -1.77941159]],-2.177384063913071,2.5546547407120452
0,80,15,0.15,0.15,0.003031000000021322,[[ 1.85646404 -1.53603089]],-5.209827938260193,2.9029248198727684
0,80,15,0.1625,0.15,0.005361999999990985,[[ 1.39745397 -1.76676891]],-1.949110960396575,2.537174998332638
0,80,15,0.1625,0.15,0.005955000000028576,[[ 1.31337908 -1.63795118]],-2.256358617192399,2.2039243367692833
0,80,15,0.1375,0.2,0.03495900000001484,[[ 2.23045019 -1.47992527]],-7.187974459755438,3.582543428142407
0,80,15,0.1625,0.15,0.007794000000046708,[[ 1.63000039 -1.42785103]],-4.555823213477001,2.3478299147665522
0,80,15,0.175,0.1,0.00301600000000235,[[ 1.55430952 -1.81953279]],-2.5853230014847064,2.863288830230857
0,80,15,0.15,0.15,0.004185000000006767,[[ 1.59857267 -1.44943931]],-4.091399740402458,2.328154443263593
0,80,15,0.1625,0.25,0.002709000000038486,[[ 1.11556812 -2.19204264]],0.4475130343372132,3.0247715853893173
0,80,15,0.175,0.1,0.0032400000000052387,[[ 1.39947213 -1.57988933]],-2.9053525157966855,2.2272862691383857
0,80,15,0.1375,0.25,0.00999899999999343,[[ 1.21788979 -1.88982633]],-0.7439529819948711,2.52734954868704
0,80,15,0.175,0.1,0.002939000000026226,[[ 1.70659094 -1.35233881]],-5.135589775159431,2.3706364420508272
0,80,15,0.1875,0.05,0.017734000000018568,[[ 1.93690261 -1.29392356]],-6.412792792237635,2.7129149451328107
0,80,15,0.1625,0.1,0.004188999999996668,[[ 1.28395365 -1.5485425 ]],-2.261583306029226,2.023260429795382
0,80,20,0.225,0.1,0.007765000000006239,[[ 1.59211378 -1.12103098]],-5.054097810916193,1.895768385112098
0,80,20,0.225,0.1,0.013328000000001339,[[ 1.42346036 -1.43061295]],-3.393498275079662,2.0364464093021604
0,80,20,0.175,0.3,0.01778999999999087,[[ 2.02462949 -1.43164323]],-6.251521679111045,3.0743634634749437
0,80,20,0.175,0.3,0.0033479999999599386,[[ 1.10413077 -2.01232789]],0.10886413638747489,2.6342841475684557
0,80,20,0.225,0.1,0.010046999999985928,[[ 1.22616311 -1.41079834]],-2.3152692431829642,1.7469139519458516
0,80,20,0.1875,0.2,0.006048999999961779,[[ 1.41816645 -1.75401318]],-2.1681112310416903,2.543879147105408
0,80,20,0.1875,0.25,0.007929999999987558,[[ 1.42209014 -1.42085308]],-3.4166209442839697,2.0205819143052546
0,80,20,0.2125,0.15,0.005644000000017968,[[ 1.34123678 -1.35017519]],-2.9842759353551496,1.810944560960325
0,80,20,0.2125,0.15,0.007644000000027518,[[ 1.33938083 -1.33943571]],-3.0089044578479234,1.794014519290736
0,80,20,0.2125,0.2,0.01046400000001313,[[ 1.00445626 -1.50730813]],-0.8974804718004716,1.6404550943976663
0,80,20,0.175,0.3,0.0034699999999929787,[[ 1.80556046 -1.24089066]],-5.811346489605357,2.3999290972770595
0,80,20,0.2125,0.15,0.005067999999994299,[[ 1.43740473 -1.42842606]],-3.475894514672593,2.053266673103534
0,80,20,0.2125,0.1,0.004797999999993863,[[ 1.25142141 -1.88803502]],-0.714902321207644,2.565365900048583
0,80,20,0.2,0.2,0.0055110000000127,[[ 1.44057156 -1.26598131]],-3.8945462795913017,1.8389775450244286
0,80,20,0.2,0.25,0.005631999999991422,[[ 1.13264617 -1.48477536]],-1.6220558034654655,1.7437226123305387
0,80,20,0.225,0.15,0.004276000000004387,[[ 1.06196082 -1.69002368]],-0.7773115348281158,1.9919704187235099
0,80,20,0.1875,0.3,0.004998000000000502,[[ 1.0277265  -1.70657433]],-0.3577440976528678,1.9843088562501523
0,80,20,0.2125,0.15,0.006169999999997344,[[ 1.33183731 -1.33838458]],-3.108496200635441,1.7825319488332574
0,80,20,0.2125,0.15,0.003773000000023785,[[ 1.33322259 -1.32465847]],-3.0371909276747004,1.766101269486476
0,80,20,0.2375,0.1,0.003935000000012678,[[ 1.10302078 -1.40813868]],-1.6327217747429437,1.5997546849448436
