,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,80,5,0.05,0.1,0.0004550000000005383,[[ 1.5867734  -1.90410863]],-2.7133331900303967,3.071739745826851
0,80,5,0.0625,0.05,0.000460000000000349,[[ 1.64000753 -2.2949844 ]],-1.9217499992777902,3.9782890585203736
0,80,5,0.05,0.1,0.000560000000000116,[[ 1.38459066 -2.00031122]],-1.2911893515658868,2.9591681302015624
0,80,5,0.05,0.05,0.0004229999999996181,[[ 1.99729728 -1.59964573]],-5.787640628453523,3.274031448473774
0,80,5,0.05,0.05,0.00044800000000044804,[[ 1.99930435 -1.99995118]],-4.596317328866523,3.998511289438639
0,80,5,0.05,0.05,0.0004739999999996414,[[ 1.66598585 -1.99917273]],-2.8988482154010184,3.386100243190307
0,80,10,0.1375,0.0,0.00046400000000001995,[[ 1.30336613 -1.68538581]],-1.7865163141285438,2.2696443119886887
0,80,10,0.1375,0.0,0.0004129999999999967,[[ 1.4 -1.7]],-2.3450031280517516,2.4249999999999843
0,80,10,0.075,0.2,0.000440000000000218,[[ 2.00018237 -1.99925719]],-4.403174286828079,3.9988794185932504
0,80,10,0.075,0.15,0.000452000000000119,[[ 1.37983358 -2.06821085]],-1.0738674537642792,3.090718414222365
0,80,10,0.1125,0.05,0.0005000000000006111,[[ 1.35171892 -1.62068757]],-2.3834351045079005,2.22688611668155
0,80,10,0.1125,0.1,0.0004569999999999297,[[ 1.66685031 -1.66656103]],-4.001356342421368,2.7779078155062824
0,80,10,0.1,0.15,0.0004979999999994433,[[ 1.60036426 -1.99969888]],-2.52299481547246,3.279980693985514
0,80,10,0.1,0.1,0.0005340000000000344,[[ 1.66666932 -1.6666544 ]],-3.833389061068788,2.7777617611261043
0,80,10,0.1125,0.1,0.0004669999999995511,[[ 1.38875858 -1.94616035]],-1.4669923982251785,2.858095244175355
0,80,10,0.1,0.15,0.0004669999999995511,[[ 1.40494213 -1.56198178]],-2.901024403977786,2.2068247452752434
0,80,10,0.0875,0.15,0.0005170000000003228,[[ 2.05881877 -1.47064491]],-6.352744810021817,3.200765598486881
0,80,10,0.125,0.05,0.000452000000000119,[[ 1.53832976 -1.53862159]],-3.76808008026363,2.3669074352119317
0,80,10,0.1125,0.05,0.0004409999999994696,[[ 1.81767504 -1.45548217]],-5.357783997480016,2.711185460136664
