,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Number of SV
0,80,10,0.09999999999999998,0.09999999999999998,0.00044199999999250394,[[ 1.66667853 -1.66665498]],-3.833437246047689,33.94449826326495,33
0,80,10,0.16249999999999998,0.0,0.000512000000000512,[[ 0.99977432 -2.00391288]],0.6122975204930998,36.21783327501291,37
0,80,10,0.09999999999999998,0.15000000000000002,0.00040799999999308056,[[ 1.44699945 -1.84164329]],-2.0260350785427867,32.719801323733115,29
0,80,15,0.1875,0.0,0.0005160000000046239,[[ 1.46987988 -1.17647875]],-4.14332134136954,51.3624642821022,51
0,80,15,0.1875,0.050000000000000044,0.0004919999999941638,[[ 1.42839472 -1.4283773 ]],-3.4282649632433615,45.89898931280778,45
0,80,15,0.13749999999999996,0.25,0.0005170000000020991,[[ 1.50515582 -1.61340259]],-3.040215523141696,36.57199322494492,36
0,80,15,0.13749999999999996,0.19999999999999996,0.0004959999999982756,[[ 1.09077252 -2.00040229]],0.14732670476987078,34.1964746036921,39
0,80,15,0.17500000000000004,0.050000000000000044,0.0004710000000045511,[[ 1.21970984 -1.46203988]],-2.1270843376435526,44.17546519795156,43
0,80,15,0.15000000000000002,0.09999999999999998,0.0004959999999982756,[[ 1.50560936 -1.7192017 ]],-2.8119647357735587,38.65211582688907,38
0,80,15,0.16249999999999998,0.15000000000000002,0.0005290000000002237,[[ 1.38437685 -1.53904736]],-2.8737126018189887,43.55399144129385,44
0,80,15,0.15000000000000002,0.15000000000000002,0.0004820000000052005,[[ 1.53896633 -1.53801991]],-3.4656831821564333,42.82961528209698,41
0,80,15,0.15000000000000002,0.15000000000000002,0.0005100000000055616,[[ 1.42856114 -1.42850532]],-3.143003594455967,35.46933432357594,39
0,80,15,0.16249999999999998,0.15000000000000002,0.0005379999999917118,[[ 1.19488224 -1.49232096]],-1.9901066824669773,37.13409283469796,41
0,80,15,0.13749999999999996,0.19999999999999996,0.0005649999999945976,[[ 1.94560098 -1.40079662]],-5.926406570761317,39.97874911237583,36
0,80,15,0.15000000000000002,0.15000000000000002,0.0006260000000111177,[[ 1.60959906 -1.37841154]],-4.591422835985129,32.30884717585819,37
0,80,15,0.16249999999999998,0.09999999999999998,0.0005760000000094578,[[ 1.53722446 -1.5404181 ]],-3.4486903345351823,45.3633984818604,43
0,80,15,0.15000000000000002,0.15000000000000002,0.0006149999999962574,[[ 1.42797375 -1.42797702]],-3.2841937225131432,46.03612429051051,44
