,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,60,25,0.2666666666666667,0.275,0.0004660000000740183,[[-0.82674354 -0.25160078]],3.868027383336758,3.2859339601686006
0,60,30,0.2833333333333333,0.35,0.00044499999989966454,[[-0.78963797 -0.21070615]],3.507050087360377,3.7475790862716716
0,50,0,0.020000000000000018,0.040000000000000036,0.00036199999999553256,[[-2.33535358 -0.53339602]],10.262019059342315,4.3782733828753235
0,50,5,0.07999999999999996,0.07999999999999996,0.0004870000000209984,[[-1.64189043 -0.32411302]],6.813089407945004,5.065795947672818
0,50,10,0.18000000000000005,0.09999999999999998,0.0004109999999855063,[[-0.94430948 -0.55533702]],6.461909289423396,1.7004259585631727
0,50,15,0.21999999999999997,0.16000000000000003,0.00039400000002842717,[[-0.92146854 -0.46940077]],5.767057500667316,1.963074183032626
0,50,20,0.28,0.19999999999999996,0.00040799999999308056,[[-0.64073571 -0.43494623]],4.7478723881985685,1.473137764806824
0,50,25,0.33999999999999997,0.24,0.0005390000000033979,[[-0.60996912 -0.41459752]],4.475786462726172,1.471231951396424
0,50,30,0.42000000000000004,0.31999999999999995,0.0004580000000942164,[[-0.41389265 -0.53219882]],4.7021941536928775,0.7777030528778092
0,80,0,0.0,0.0,0.00045700000009674113,[[ 0.62201712 -0.58168486]],1.3624273281626627,-1.0693369596326587
0,80,5,0.050000000000000044,0.050000000000000044,0.000463999999965381,[[ 0.57619404 -0.26977487]],0.06789231419298243,-2.135832869999898
0,80,10,0.09999999999999998,0.09999999999999998,0.00048500000002604793,[[ 0.44340441 -0.26763096]],0.19585955887952222,-1.6567754944771078
0,80,15,0.15000000000000002,0.15000000000000002,0.000509999999962929,[[ 0.36478836 -0.28708931]],0.38593876430768886,-1.2706441584593309
0,80,20,0.1875,0.25,0.0004889999999022621,[[ 0.48109694 -0.15091644]],-0.3311473933363213,-3.1878366221774006
0,80,25,0.22499999999999998,0.35,0.0005079999999679785,[[ 0.48373755 -0.0821419 ]],-0.602816900005539,-5.889047768711989
0,80,30,0.275,0.4,0.0005810000000110449,[[0.53740493 0.01812229]],-1.0586302183706702,29.65435636362989
0,70,0,0.0,0.0,0.00035900000000310683,[[ 0.62208736 -0.58150473]],1.361582162889153,-1.069788984622271
0,70,5,0.05714285714285716,0.033333333333333326,0.0004129999999804568,[[ 0.58324952 -0.25966896]],0.025607863232293037,-2.246127166944561
0,70,10,0.11428571428571432,0.06666666666666665,0.00047600000004877074,[[ 0.4412237  -0.23148547]],0.07156951173741526,-1.9060535442070934
0,70,15,0.17142857142857137,0.09999999999999998,0.0005050000000892396,[[ 0.34962627 -0.28026469]],0.3547413642752761,-1.2474859934678253
0,70,20,0.2142857142857143,0.16666666666666663,0.0004919999998946878,[[ 0.43530932 -0.1603326 ]],-0.24171605084702774,-2.7150392901860774
0,70,25,0.24285714285714288,0.2666666666666667,0.0004999999999881766,[[ 0.4848363  -0.08057999]],-0.6101350734389012,-6.016832855096934
0,70,30,0.30000000000000004,0.30000000000000004,0.0005620000000590153,[[0.52525733 0.01768102]],-1.0119873576281269,29.707413238608527
0,60,0,0.0,0.0,0.00036899999997785926,[[ 0.54438395 -0.63429633]],1.7236331894801078,-0.8582486186793198
