,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Number of SV
0,70,15,0.15577889447236182,0.22807017543859653,14.470979999999997,"[[ 6.14484332e-01  4.88718622e-02  5.60155584e-02 -9.84410561e-03
  -8.65067448e-02 -2.78908276e-02 -5.72710819e-01 -3.74353287e-01
  -4.13256737e-01 -1.80833709e-04 -4.63931011e-01  6.09670066e-01
   1.35648775e-02 -1.53624385e-02 -5.13554861e-02  1.30952995e-02
   3.19587367e-01  3.18902742e-02 -9.18010588e-02  4.45681152e-03
  -1.31639692e+00 -1.03618768e-01  4.25351111e-02  8.12785442e-03
  -1.84473201e-01 -7.45448629e-01 -1.82470917e+00 -6.26512653e-01
  -7.94516862e-01 -2.18356224e-01]]",5.590615199464261,156.36006540380538,173
0,70,20,0.21356783919597988,0.23391812865497075,9.211129,"[[ 1.18044394  0.02804623  0.05991532 -0.01784592 -0.04086569 -0.08224467
  -0.3774877  -0.32213216 -0.35894407  0.02233312 -0.46604612  0.1907793
  -0.06958582 -0.00139978 -0.0749522   0.04217378  0.57707337  0.04238965
  -0.04789133  0.03113642 -1.37805125 -0.05191194  0.00275934  0.01154995
  -0.27255189 -1.20297211 -1.00309828 -0.5753803  -0.55768821 -0.16799505]]",3.683736596381398,198.51163127243854,220
0,70,25,0.26633165829145733,0.2748538011695907,15.738121000000007,"[[ 1.37638068e+00  7.16294117e-03 -3.35593758e-02 -1.25311089e-02
  -2.67917349e-03 -4.94015079e-02 -3.32068049e-01 -3.18306495e-01
  -2.83365667e-01  3.12910325e-02 -1.69022963e-01  2.98489027e-02
   3.66941321e-01 -2.77962272e-02 -7.70299136e-02  5.00039286e-02
   3.81230815e-01  4.47480477e-02  1.03333680e-03  1.33006230e-02
  -1.21643977e+00 -2.63161639e-02 -2.15589203e-02  1.17895378e-02
  -2.65196937e-01 -6.74616197e-01 -1.01158838e+00 -4.94103147e-01
  -4.02632230e-01 -1.61930199e-01]]",5.203659679177419,225.5787198114191,254
0,70,30,0.3040201005025126,0.30409356725146197,8.551003000000009,"[[ 1.80094646e+00 -1.23097963e-02 -9.84906114e-02 -1.18476328e-02
  -1.08674097e-01 -1.89342782e-01 -2.65460938e-01 -3.11805366e-01
  -4.51059583e-01  2.87937518e-04 -2.10209413e-01  3.28778161e-03
   5.01429502e-01 -2.91472545e-02 -7.18972122e-02  7.56051944e-02
   5.04443366e-01  6.63154671e-02 -3.60676591e-02  2.16273837e-02
  -1.14594619e+00 -1.17145371e-02 -7.25827336e-03  1.00908531e-02
  -3.28106773e-01 -4.15764845e-01 -8.11558951e-01 -3.06456732e-01
  -5.14574492e-01 -9.79692979e-02]]",3.1614157471168425,249.62111597737257,284
0,60,0,0.02639296187683282,0.03947368421052633,1.0445580000000234,"[[ 0.69053529  0.08709197 -0.21662063  0.020174   -0.11670291 -0.17303849
  -0.51045866 -0.24015402 -0.24630916 -0.02918396 -0.11084392  0.82313962
   1.20639131 -0.10360513 -0.02822163 -0.02189842 -0.12533204 -0.02912574
  -0.06573884 -0.0060625  -0.54111877 -0.26096005 -0.1085663  -0.00313968
  -0.29092549 -0.61545525 -1.32123273 -0.43736737 -0.65214378 -0.11482297]]",26.373751160702046,28.69097767844306,33
0,60,5,0.06451612903225812,0.10526315789473684,1.4583030000000008,"[[ 3.57836213e-01  3.28905818e-02  1.51359814e-02  8.17829832e-04
  -1.51550211e-01 -5.41499507e-02 -5.58414567e-01 -2.89546481e-01
  -3.19235286e-01 -4.82178649e-02 -2.51844023e-01  4.47188533e-01
   2.25276137e-01 -2.92720851e-02 -3.72498543e-02  7.86878887e-03
  -3.43675750e-02 -1.93342798e-02 -8.27542208e-02 -1.21895799e-02
  -3.14495474e-01 -1.17649472e-01 -6.02606822e-02 -4.41766946e-04
  -2.93506043e-01 -4.78619496e-01 -1.41205890e+00 -4.96998486e-01
  -7.81784376e-01 -2.12149013e-01]]",8.594053732441003,57.10630241569691,74
0,60,10,0.09677419354838712,0.16666666666666663,4.140177000000023,"[[ 3.26478318e-01  3.17408662e-02  8.84910849e-02 -7.52859548e-03
  -1.28656673e-01 -2.01511427e-02 -5.41906352e-01 -2.82337152e-01
  -4.77510599e-01 -1.67500245e-02 -4.64062115e-01  2.80342831e-01
   3.69165372e-02 -5.11213399e-03 -2.62199062e-02 -9.57828043e-04
   1.10909441e-01  9.87508891e-03 -5.26775965e-02 -8.18271694e-03
  -1.13750716e+00 -6.50813435e-02 -4.57400409e-02  9.37082921e-03
  -2.45730436e-01 -6.67284446e-01 -1.43850668e+00 -4.87636576e-01
  -6.42910959e-01 -2.03107360e-01]]",9.855785691599054,102.17071560489353,110
0,60,15,0.14662756598240467,0.2149122807017544,5.156634999999994,"[[ 0.91174765  0.02890772 -0.03133324 -0.00630023  0.04304152 -0.05787203
  -0.54726029 -0.23457    -0.51725604 -0.01944244 -0.32460547  0.65752091
  -0.00903639 -0.01156698 -0.02802896 -0.07056063  0.11513756  0.04537744
  -0.10462188 -0.01400327 -1.15711605 -0.08460478  0.02313633  0.00723039
  -0.02176725 -0.99034368 -1.68826532 -0.26648654 -0.94935379 -0.2309103 ]]",7.1081694865073075,133.9114439817246,143
0,60,20,0.21700879765395897,0.25,10.909950999999978,"[[ 1.52331762 -0.0354894   0.0229224  -0.01683799 -0.00856624 -0.20355313
  -0.44218261 -0.25877002 -0.65505817  0.00261965 -0.2242177   0.03727904
   0.14801777 -0.00625044 -0.05306054 -0.01586425  0.34979193  0.0614646
  -0.09718505  0.01221477 -1.16809652  0.00664148 -0.05344109  0.01152023
  -0.11832538 -1.00495267 -0.61583849 -0.31856062 -1.0062806  -0.14879127]]",3.6280173724376676,167.757962596687,182
0,60,25,0.24926686217008798,0.2807017543859649,23.128625999999997,"[[ 1.36195626  0.00471588 -0.11563393 -0.00655877  0.10934946 -0.05682267
  -0.02660649 -0.15514019 -0.5614661   0.02123741  0.05605507 -0.0081907
   0.44384571 -0.0324901  -0.04447283  0.04004917  0.37113362  0.05254999
  -0.07338529  0.01259233 -0.9171496  -0.03156122 -0.04369919  0.01041587
  -0.07382359 -0.88348697 -0.22818274 -0.31200775 -0.94593883 -0.10318185]]",7.860743987195345,189.88923930674707,208
