,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Standard Deviation,Features
0,80,0,0.0,0.0,0.0006809999999859428,0,0.01,2
0,80,0,0.0,0.0,0.0009150000000204273,0,0.01,2
0,80,0,0.0,0.0,0.0009390000000166765,0,0.01,2
0,80,0,0.0,0.0,0.0008300000000076579,0,0.01,2
0,80,0,0.0,0.0,0.0008730000000127802,0,0.01,2
0,80,0,0.0,0.0,0.0007969999999772881,0,0.01,2
0,80,0,0.0,0.0,0.0004450000000133514,0,0.01,2
0,80,0,0.0,0.0,0.000781999999958316,0,0.01,2
0,80,0,0.0,0.0,0.000841000000036729,0,0.01,2
0,80,0,0.0,0.0,0.001029000000016822,0,0.01,2
0,80,0,0.0,0.0,0.0008750000000077307,0,0.01,2
0,80,0,0.0,0.0,0.000716999999951895,0,0.01,2
0,80,0,0.0,0.0,0.0008010000000240325,0,0.01,2
0,80,0,0.0,0.0,0.0012790000000109103,0,0.01,2
0,80,0,0.0,0.0,0.0006030000000123437,0,0.01,2
0,80,0,0.0,0.0,0.0008330000000000837,0,0.01,2
0,80,0,0.0,0.0,0.0011389999999664724,0,0.01,2
0,80,0,0.0,0.0,0.001136999999971522,0,0.01,2
0,80,0,0.0,0.0,0.0011269999999967695,0,0.01,2
0,80,0,0.0,0.0,0.001335999999980686,0,0.01,2
0,80,0,0.0,0.0,0.0008300000000076579,0,0.01,2
0,80,0,0.0,0.0,0.0008829999999875326,0,0.01,2
0,80,0,0.0,0.0,0.0010540000000105465,0,0.01,2
0,80,0,0.0,0.0,0.0006740000000036162,0,0.01,2
0,80,0,0.0,0.0,0.0017220000000293112,0,0.01,2
0,80,0,0.0,0.0,0.0007470000000466825,0,0.01,2
0,80,0,0.0,0.0,0.0007529999999746906,0,0.01,2
0,80,0,0.0,0.0,0.0010510000000181208,0,0.01,2
0,80,0,0.0,0.0,0.0011420000000157415,0,0.01,2
0,80,0,0.0,0.0,0.001010000000007949,0,0.01,2
0,80,0,0.0,0.0,0.0008710000000178297,0,0.01,2
0,80,0,0.0,0.0,0.0009479999999939537,0,0.01,2
0,80,0,0.0,0.0,0.0008659999999736101,0,0.01,2
0,80,0,0.0,0.0,0.0010310000000117725,0,0.01,2
0,80,0,0.0,0.0,0.0009019999999964057,0,0.01,2
0,80,0,0.0,0.0,0.000984999999957381,0,0.01,2
0,80,0,0.0,0.0,0.0007670000000530308,0,0.01,2
0,80,0,0.0,0.0,0.0008330000000000837,0,0.01,2
0,80,0,0.0,0.0,0.0011049999999954707,0,0.01,2
0,80,0,0.0,0.0,0.0007829999999557913,0,0.01,2
0,80,0,0.0,0.0,0.000968000000000302,0,0.01,2
0,80,0,0.0,0.0,0.0008480000000190557,0,0.01,2
0,80,0,0.0,0.0,0.0010130000000003747,0,0.01,2
0,80,0,0.0,0.0,0.001219000000048709,0,0.01,2
0,80,0,0.0,0.0,0.001427999999975782,0,0.01,2
0,80,0,0.0,0.0,0.0015379999999822758,0,0.01,2
0,80,0,0.0,0.0,0.001086999999984073,0,0.01,2
0,80,0,0.0,0.0,0.0008240000000228065,0,0.01,2
0,80,0,0.0,0.0,0.0006649999999694955,0,0.01,2
0,80,0,0.0,0.0,0.0006089999999971951,0,0.01,2
0,80,0,0.0,0.0,0.0008569999999963329,0,0.01,2
0,80,0,0.0,0.0,0.0008310000000051332,0,0.01,2
0,80,0,0.0,0.0,0.0007769999999709398,0,0.01,2
0,80,0,0.0,0.0,0.0008649999999761349,0,0.01,2
0,80,0,0.0,0.0,0.00044700000000830187,0,0.01,2
0,80,0,0.0,0.0,0.0009769999999775791,0,0.01,2
0,80,0,0.0,0.0,0.0010569999999461288,0,0.01,2
0,80,0,0.0,0.0,0.0009459999999990032,0,0.01,2
0,80,0,0.0,0.0,0.0007810000000176842,0,0.01,2
0,80,0,0.0,0.0,0.0007249999999885404,0,0.01,2
0,80,0,0.0,0.0,0.0010720000000219443,0,0.01,2
0,80,0,0.0,0.0,0.0006370000000401888,0,0.01,2
0,80,0,0.0,0.0,0.0010809999999992215,0,0.01,2
0,80,0,0.0,0.0,0.0008620000000405525,0,0.01,2
0,80,0,0.0,0.0,0.001030999999954929,0,0.01,2
0,80,0,0.0,0.0,0.0010800000000017462,0,0.01,3
0,80,0,0.0,0.0,0.0010260000000243963,0,0.01,3
0,80,0,0.0,0.0,0.0008460000000241052,0,0.01,3
0,80,0,0.0,0.0,0.0012459999999805405,0,0.01,3
0,80,0,0.0,0.0,0.0008839999999850079,0,0.01,3
0,80,0,0.0,0.0,0.0006180000000313157,0,0.01,3
0,80,0,0.0,0.0,0.000703000000044085,0,0.01,3
0,80,0,0.0,0.0,0.0007150000000137879,0,0.01,3
0,80,0,0.0,0.0,0.0006779999999935171,0,0.01,3
0,80,0,0.0,0.0,0.0010669999999777247,0,0.01,3
0,80,0,0.0,0.0,0.0005299999999692773,0,0.01,3
0,80,0,0.0,0.0,0.0010450000000332693,0,0.01,3
0,80,0,0.0,0.0,0.00061500000003889,0,0.01,3
0,80,0,0.0,0.0,0.0008170000000404798,0,0.01,3
