,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Number of SV,Features
0,80,0,0.0,0.0,0.0004800000000386717,1.0539353977079404,2,2
0,70,0,0.0,0.0,0.00046200000008411735,1.0539751610726662,2,2
0,60,0,0.0,0.0,0.0006440000000793589,1.0539416572882536,2,2
0,50,0,0.0,0.0,0.00044700000000830187,1.0539267829638208,2,2
0,80,0,0.0,0.0,0.0005420000001095104,1.0364486084644158,2,2
0,70,0,0.0,0.0,0.0004589999999780048,1.0364468518718215,2,2
0,60,0,0.0,0.0,0.0005229999999301072,1.0364665169481264,2,2
0,50,0,0.0,0.0,0.0004979999999932261,1.0364391589453994,2,2
0,80,0,0.0,0.0,0.000515000000063992,1.0346614601980006,2,2
0,70,0,0.0,0.0,0.0005180000000564178,1.0346297528324189,2,2
0,60,0,0.0,0.0,0.000477000000046246,1.0346453550805461,2,2
0,50,0,0.0,0.0,0.00045099999999820284,1.034644310765558,2,2
0,80,0,0.0,0.0,0.00045799999998052954,1.3679666531399433,2,2
0,70,0,0.0,0.0,0.0004529999999931533,1.3682212345407683,2,2
0,60,0,0.0,0.0,0.0004950000000008004,1.3682145186350099,2,2
0,50,0,0.0,0.0,0.00047499999993760866,1.3682145186416501,2,2
0,80,0,0.0,0.0,0.00048600000002352317,1.037623978471258,2,2
0,70,0,0.0,0.0,0.00048500000002604793,1.0376239784731167,2,2
0,60,0,0.0,0.0,0.0004759999999350839,1.0376239784691854,2,2
0,50,0,0.0,0.0,0.00046299999996790575,1.0375766049764186,2,2
0,80,0,0.0,0.0,0.0005400000000008731,1.028101341832643,2,2
0,70,0,0.0,0.0,0.0005159999999477805,1.0280913415312336,2,2
0,60,0,0.0,0.0,0.000551999999970576,1.0281023662260051,2,2
0,50,0,0.0,0.0,0.00044400000001587614,1.0280952428888683,2,2
0,80,0,0.0,0.0,0.0005149999999503052,1.0301156487618999,2,2
0,70,0,0.0,0.0,0.00046799999995528196,1.03011112863894,2,2
0,60,0,0.0,0.0,0.0004870000000209984,1.030115967918454,2,2
0,50,0,0.0,0.0,0.0004229999999552092,1.0301144478721656,2,2
0,80,0,0.0,0.0,0.0005980000000818109,1.0597422926126345,2,2
0,70,0,0.0,0.0,0.0005310000000235959,1.0597047248300642,2,2
0,60,0,0.0,0.0,0.00043799999991733785,1.0597004791303024,2,2
0,50,0,0.0,0.0,0.000601999999958025,1.0597185819408068,2,2
0,80,0,0.0,0.0,0.0007659999999987122,1.0892147927551532,2,2
0,70,0,0.0,0.0,0.000647999999955573,1.0892147927591806,2,2
