,Unnamed: 0,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Number of SV,Features
90,0,60,0,0.0,0.0,0.0007779999999995,1.1392063996137742,2,2
91,0,50,0,0.0,0.0,0.0007109999999999,1.139206398993557,2,2
92,0,80,0,0.0,0.0,0.0009100000000001,1.0457953146144798,2,2
93,0,70,0,0.0,0.0,0.0008980000000002,1.0457953150374515,2,2
94,0,60,0,0.0,0.0,0.0007570000000001,1.0457953130239477,2,2
95,0,50,0,0.0,0.0,0.0007389999999993,1.0457954402768208,2,2
96,0,80,0,0.0,0.0,0.000642,1.1045198775269391,2,2
97,0,70,0,0.0,0.0,0.0005690000000004,1.1045198795739928,2,2
98,0,60,0,0.0,0.0,0.0005119999999996,1.1045198837324277,2,2
99,0,50,0,0.0,0.0,0.0005220000000001,1.1045198756132528,2,2
100,0,80,0,0.0,0.0,0.0010009999999995,1.047533843474146,2,2
101,0,70,0,0.0,0.0,0.0004939999999997,1.047533842141431,2,2
102,0,60,0,0.0,0.0,0.0006149999999998,1.045933646271678,2,2
103,0,50,0,0.0,0.0,0.0008020000000001,1.0459336431517203,2,2
104,0,80,0,0.0,0.0,0.0006779999999997,1.0849969861776927,2,2
105,0,70,0,0.0,0.0,0.0005800000000002,1.084996986139335,2,2
106,0,60,0,0.0,0.0,0.0005669999999993,1.0829939987639772,2,2
107,0,50,0,0.0,0.0,0.0005519999999998,1.0818675597905805,2,2
108,0,80,0,0.0,0.0,0.0007380000000001,1.2943985011154486,3,2
109,0,70,0,0.0,0.0,0.0003489999999999,1.2941591943857929,3,2
110,0,60,0,0.0,0.0,0.0003359999999998,1.287445035413115,2,2
111,0,50,0,0.0,0.0,0.000655,1.284221535364095,2,2
112,0,80,0,0.0,0.0,0.0004029999999994,1.057917244299602,2,2
113,0,70,0,0.0,0.0,0.0007229999999998,1.0579172428404555,2,2
114,0,60,0,0.0,0.0,0.0010180000000001,1.0579172452527088,2,2
115,0,50,0,0.0,0.0,0.00075,1.0579172480973749,2,2
116,0,80,0,0.0,0.0,0.0005250000000005,1.026471080094466,2,2
117,0,70,0,0.0,0.0,0.0007780000000003,1.02647108008967,2,2
118,0,60,0,0.0,0.0,0.0005930000000002,1.026471080091825,2,2
119,0,50,0,0.0,0.0,0.0004849999999994,1.0260793031267292,2,2
120,0,80,0,0.0,0.0,0.0005959999999998,1.1577404333251045,2,4
121,0,70,0,0.0,0.0,0.000566,1.157740485310799,2,4
122,0,60,0,0.0,0.0,0.0006400000000006,1.157740455099863,2,4
123,0,50,0,0.0,0.0,0.0005139999999999,1.1577404456188136,2,4
124,0,80,0,0.0,0.0,0.0006789999999998,1.0453695959144689,2,4
125,0,70,0,0.0,0.0,0.0005839999999999,1.044944336465573,2,4
126,0,60,0,0.0,0.0,0.0007420000000006,1.0449443383894508,2,4
127,0,50,0,0.0,0.0,0.0005599999999992,1.0449443369222429,2,4
128,0,80,0,0.0,0.0,0.0011169999999998,2.099632215752236,3,4
129,0,70,0,0.0,0.0,0.0006110000000001,1.0998166917021202,2,4
130,0,60,0,0.0,0.0,0.0005949999999996,1.0998166928797588,2,4
131,0,50,0,0.0,0.0,0.000636,1.099816694075155,2,4
132,0,80,0,0.0,0.0,0.0007330000000003,1.091293342849328,3,4
133,0,70,0,0.0,0.0,0.0006269999999997,1.091295097167614,3,4
134,0,60,0,0.0,0.0,0.0006209999999997,1.0912160742831274,2,4
135,0,50,0,0.0,0.0,0.000731,1.0883605265218792,2,4
136,0,80,0,0.0,0.0,0.0005490000000003,1.033161320236811,2,4
137,0,70,0,0.0,0.0,0.0005759999999996,1.0331613230386756,2,4
138,0,60,0,0.0,0.0,0.0005920000000001,1.0331613238589084,2,4
139,0,50,0,0.0,0.0,0.0005519999999998,1.0331613225885683,2,4
140,0,80,0,0.0,0.0,0.0007150000000004,1.0371279553564,2,4
141,0,70,0,0.0,0.0,0.0007090000000005,1.0371279478141815,2,4
142,0,60,0,0.0,0.0,0.0003659999999996,1.0371279488255465,2,4
143,0,50,0,0.0,0.0,0.0003450000000002,1.0371279508524136,2,4
144,0,80,0,0.0,0.0,0.0008379999999998,1.0248306522757946,2,4
145,0,70,0,0.0,0.0,0.0005490000000003,1.024830651249779,2,4
146,0,60,0,0.0,0.0,0.0006000000000003,1.0245761814203562,3,4
147,0,50,0,0.0,0.0,0.0007919999999996,1.0245497470993812,3,4
148,0,80,0,0.0,0.0,0.0011369999999999,1.0166796194256416,2,4
149,0,70,0,0.0,0.0,0.0010630000000002,1.0166796183358715,2,4
150,0,60,0,0.0,0.0,0.0009969999999999,2.0162210996461583,3,4
151,0,50,0,0.0,0.0,0.0006749999999993,2.016220302795021,3,4
152,0,80,0,0.0,0.0,0.0007589999999995,1.0140370421964269,2,4
153,0,70,0,0.0,0.0,0.0007910000000004,1.013613392163784,3,4
154,0,60,0,0.0,0.0,0.000661,1.0138290406046946,3,4
155,0,50,0,0.0,0.0,0.0007039999999998,1.013825838436096,3,4
156,0,80,0,0.0,0.0,0.0003779999999995,2.242599630589354,3,4
157,0,70,0,0.0,0.0,0.0009569999999996,2.242600762008143,3,4
158,0,60,0,0.0,0.0,0.0005999999999994,2.2424697971723964,3,4
159,0,50,0,0.0,0.0,0.0003999999999999,2.242601226585104,3,4
160,0,80,0,0.0,0.0,0.000496,1.0793739273536882,2,4
161,0,70,0,0.0,0.0,0.0006190000000003,1.0790911905604763,2,4
162,0,60,0,0.0,0.0,0.0005309999999996,1.078456136925822,2,4
163,0,50,0,0.0,0.0,0.0006279999999998,1.0784561295194368,2,4
164,0,80,0,0.0,0.0,0.0005360000000003,1.0437592554345736,2,4
165,0,70,0,0.0,0.0,0.0005899999999998,1.0437592546570618,2,4
166,0,60,0,0.0,0.0,0.0006979999999998,1.04375925477511,2,4
167,0,50,0,0.0,0.0,0.0006459999999997,1.0437592549110504,2,4
168,0,80,0,0.0,0.0,0.0005410000000001,1.0328300862629298,2,4
169,0,70,0,0.0,0.0,0.0006839999999996,1.0328300862804465,2,4
170,0,60,0,0.0,0.0,0.0006829999999995,1.0328300861044963,2,4
171,0,50,0,0.0,0.0,0.0007399999999995,1.0315494915357,3,4
172,0,80,0,0.0,0.0,0.0006089999999998,1.1483360349079708,2,4
173,0,70,0,0.0,0.0,0.0006300000000001,1.147562450679806,3,4
174,0,60,0,0.0,0.0,0.0006709999999996,1.1429921601539743,2,4
175,0,50,0,0.0,0.0,0.0006630000000003,1.142992158019911,2,4
176,0,80,0,0.0,0.0,0.0005789999999992,1.0789662435742828,2,4
177,0,70,0,0.0,0.0,0.0005060000000005,1.0789662413786658,2,4
