,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Standard Deviation
0,80,0,0.0,0.0,0.0005580000000051655,[[0.01461472 0.33177275]],-2.1883879478027493,0.055143375247852164,0.4
0,80,0,0.0,0.0,0.0005080000000035056,[[ 0.10006519 -0.21478528]],0.14634255687229292,0.02807287934016639,0.0001
0,80,0,0.0,0.0,0.000499999999995282,[[ 0.1015934 -0.2301353]],0.19097428846538717,0.03164173677463652,0.1
0,80,0,0.0,0.0,0.00039199999999794954,[[ 0.10269889 -0.26744878]],0.3164632121968473,0.041037957031879006,0.3
0,80,0,0.0,0.0,0.0004199999999983106,[[ 0.10157085 -0.2902359 ]],0.4048096431870929,0.047276758146125655,0.4
0,80,0,0.0,0.0,0.0006399999999970873,[[-0.23911282  0.05497575]],0.9312758521218331,0.030098636760804046,0.0001
0,80,0,0.0,0.0,0.0005230000000011614,[[-0.24588995  0.06863141]],0.9301127161969837,0.032586070164388574,0.1
0,80,0,0.0,0.0,0.0004199999999983106,[[-0.26618198  0.07639137]],1.0124278459136766,0.03834424427279838,0.3
0,80,0,0.0,0.0,0.0003640000000046939,[[-0.27791504  0.07988592]],1.0625115266868093,0.04180926497868138,0.4
0,80,0,0.0,0.0,0.0008169999999978472,[[ 0.1953105  -0.28490626]],0.05441446047797566,0.05965888338166389,0.0001
0,80,0,0.0,0.0,0.0007779999999968368,[[ 0.20780338 -0.30494845]],0.06879620163716132,0.06808790201027483,0.1
0,80,0,0.0,0.0,0.00046400000000090813,[[ 0.23821965 -0.3548979 ]],0.10700168297685114,0.09135055937455079,0.3
0,80,0,0.0,0.0,0.00037800000000487444,[[ 0.25698931 -0.38652779]],0.13273844653341282,0.10772361905241983,0.4
0,80,0,0.0,0.0,0.0004099999999951365,[[-0.09179691 -0.41184095]],1.4555377423027023,0.08901982244071806,0.0001
0,80,0,0.0,0.0,0.0004179999999962547,[[-0.08770401 -0.46430332]],1.5776102656735347,0.1116347814431462,0.1
0,80,0,0.0,0.0,0.00046400000000090813,[[-0.11295663 -0.61011146]],2.0014189313758655,0.19249759673126624,0.3
0,80,0,0.0,0.0,0.0005380000000059226,[[-0.13221342 -0.7237383 ]],2.330693442245454,0.27063875759579326,0.4
0,80,0,0.0,0.0,0.0004259999999973729,[[ 0.29109085 -0.41275426]],-0.8069052321206378,0.12754998264391312,0.0001
0,80,0,0.0,0.0,0.0004659999999958586,[[ 0.34088019 -0.44110717]],-1.1188059833080577,0.1553874188009388,0.1
0,80,0,0.0,0.0,0.0004330000000010159,[[ 0.48918891 -0.49581674]],-2.15092347684937,0.24257001580293075,0.3
0,80,0,0.0,0.0,0.00041300000000177306,[[ 0.57962727 -0.53580006]],-2.767371750908555,0.3115247344360147,0.4
0,80,0,0.0,0.0,0.0004390000000000782,[[ 0.07277699 -0.30352396]],1.2396010736160599,0.048711642763360534,0.0001
0,80,0,0.0,0.0,0.00042299999999784177,[[ 0.07274337 -0.32129087]],1.31944005867342,0.054259709812555686,0.1
0,80,0,0.0,0.0,0.0005279999999956431,[[ 0.07086896 -0.36341776]],1.513547604061513,0.06854743948096184,0.3
0,80,0,0.0,0.0,0.00041900000000083537,[[ 0.06853549 -0.38856313]],1.6326071480152948,0.07783921062842956,0.4
0,80,0,0.0,0.0,0.0004029999999985989,[[ 0.61448283 -0.16582344]],-3.1253396363452506,0.2025432812298967,0.0001
0,80,0,0.0,0.0,0.00041300000000177306,[[ 0.69692019 -0.18850521]],-3.545773912382273,0.2606159830263064,0.1
0,80,0,0.0,0.0,0.0005969999999990705,[[ 0.95263768 -0.25950853]],-4.84376837068641,0.4874316139734821,0.3
0,80,0,0.0,0.0,0.0005280000000027485,[[ 1.16666574 -0.31969748]],-5.923089161485986,0.7316577151298631,0.4
0,80,0,0.0,0.0,0.0004429999999970846,[[ 0.25685322 -0.10220275]],-0.8296767370346992,0.038209488987491935,0.0001
0,80,0,0.0,0.0,0.00041499999999672355,[[ 0.2701172  -0.10645201]],-0.8654219311723806,0.04214766488951112,0.1
0,80,0,0.0,0.0,0.000529999999997699,[[ 0.30122194 -0.11603652]],-0.9494121070119262,0.0520995655087324,0.3
0,80,0,0.0,0.0,0.0004879999999971574,[[ 0.31960435 -0.12145529]],-0.9991848298549875,0.058449163900648346,0.4
0,80,0,0.0,0.0,0.00070999999999799,[[0.22626285 0.40269315]],-3.4113399390879664,0.10667832711380072,0.0001
