,Training,Noise,Training Error,Testing Error,Time Count,Objective Function,Number of SV,Features
0,70,0,0.0,0.0,17.812560000000303,16.99881928243843,20,2097152
0,60,0,0.0,0.0,15.48538600000029,16.99881420024152,20,2097152
0,50,0,0.0,0.0,13.049657999999908,16.998809796399048,20,2097152
0,80,0,0.0,0.0,20.379259000001184,15.998837145548256,19,2097152
0,70,0,0.0,0.0,17.246212000000014,16.9988236669566,19,2097152
0,60,0,0.0,0.0,15.182425999999396,16.998821164714908,20,2097152
0,50,0,0.0,0.0,12.787490000000616,16.998839421536896,20,2097152
0,80,0,0.0,0.0,19.587432999998782,15.998836145484592,18,2097152
0,70,0,0.0,0.0,17.3729629999998,16.998842743476988,19,2097152
0,60,0,0.0,0.0,14.642696999999316,16.998846970047424,19,2097152
0,50,0,0.0,0.0,13.122706000000107,16.998850120163358,20,2097152
0,80,0,0.0,0.0,20.395951000000423,16.998848134786876,20,2097152
0,70,0,0.0,0.0,17.327997999998843,16.998830362079627,19,2097152
0,60,0,0.0,0.0,14.802654000000985,15.998845585754063,18,2097152
0,50,0,0.0,0.0,12.543721000000005,16.99884725621708,19,2097152
0,80,0,0.0,0.0,19.216786000000866,16.99883006838713,19,2097152
0,70,0,0.0,0.0,17.103924000000916,16.998828094823406,19,2097152
0,60,0,0.0,0.0,14.858938000001217,16.998834914043535,19,2097152
0,50,0,0.0,0.0,12.60555199999908,16.99883284241409,19,2097152
0,80,0,0.0,0.0,19.414770000001226,16.998835236943215,19,2097152
0,70,0,0.0,0.0,17.24815999999919,16.99882785076563,19,2097152
0,60,0,0.0,0.0,14.639353999999003,16.99883336454648,19,2097152
0,50,0,0.0,0.0,12.441960000000108,15.99883237459711,18,2097152
0,80,0,0.0,0.0,19.48304300000018,15.99883693275831,18,2097152
0,70,0,0.0,0.0,17.120670999998765,16.99883152497733,19,2097152
0,60,0,0.0,0.0,14.72219099999893,16.998835445769835,19,2097152
0,50,0,0.0,0.0,12.44387900000038,16.998837943625546,19,2097152
0,80,0,0.0,0.0,20.19405999999981,16.998835144083795,20,2097152
0,70,0,0.0,0.0,17.94911299999876,16.998849006089518,20,2097152
0,60,0,0.0,0.0,15.410721000000194,16.998859297660402,20,2097152
0,50,0,0.0,0.0,13.023025999998936,15.998874044125891,19,2097152
0,80,0,0.0,0.0,19.39057099999991,15.998834369781093,18,2097152
0,70,0,0.0,0.0,18.11022900000171,16.998839382485166,20,2097152
0,60,0,0.0,0.0,14.799191999998584,16.99882588747522,19,2097152
0,50,0,0.0,0.0,12.5373150000014,16.998835717985376,19,2097152
0,80,0,0.0,0.0,19.32188700000006,16.99883474382687,19,2097152
0,70,0,0.0,0.0,17.270829999999478,16.99883545061301,19,2097152
0,60,0,0.0,0.0,14.795996000000741,15.998840855370792,18,2097152
0,50,0,0.0,0.0,12.206905999999435,16.998833298293267,19,2097152
